id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
45734,HWQS,HASEEB WAQAS SUGAR LTD,11.65,11.95,PSX,Pakistan,Process Industries
45748,HWGG,HWGG Entertainment Limited,1.25,1.25,OTC,Malaysia,Electronic Technology
45749,HWGB,HO WAH GENTING BHD,0.22,0.22,MYX,Malaysia,Producer Manufacturing
45763,HWC,HEIWA CORP.,0.0,11.9,FWB,Japan,Consumer Services
45764,HWC,HEIWA CORP.,0.0,11.9,BER,Japan,Consumer Services
45767,HWAWELLTEX,HWA WELL TEXTILES (BD)PLC,55.2,55.1,DSEBD,Bangladesh,Process Industries
45769,HWATAI,HWA TAI INDUSTRIES BHD,0.6,0.61,MYX,Malaysia,Consumer Non-Durables
45771,HW4,HANWA CO. LTD,0.0,26.0,FWB,Japan,Distribution Services
45774,HVX,VICEM HAI VAN CEMENT JOINT STOCK COMPANY,3106.67,3100.0,HOSE,Vietnam,Non-Energy Minerals
45780,HVT,VIET TRI CHEMICALS JSC,51400.0,51400.0,HNX,Vietnam,Process Industries
45788,HVN,"GOLDEN MV HOLDINGS, INC.",790.0,790.0,PSE,Philippines,Finance
45789,HVN,TCT HANG KHONG VN-CTCP,11000.0,11050.0,HOSE,Vietnam,Transportation
45792,HVH,CTCP DT & CONG NGHE HVC,5733.33,5730.0,HOSE,Vietnam,Industrial Services
45797,HVA.N0000,HVA FOODS PLC,3.97,4.0,CSELK,Sri Lanka,Consumer Non-Durables
45798,HVA,HVA INVESTMENT JSC,3966.67,4000.0,UPCOM,Vietnam,Distribution Services
45801,HUYA,HUYA Inc.,3.83,3.88,NYSE,China,Commercial Services
45812,HUTCY,Hutchison Telecommunications Hong Kong Holdings Ltd.,1.9,1.9,OTC,Hong Kong,Communications
45818,HUT,TASCO JSC,20333.33,20500.0,HNX,Vietnam,Finance
45825,HUSI,HUSSAIN INDUSTRIES LTD,15.92,16.13,PSX,Pakistan,Process Industries
45835,HUPSENG,HUP SENG INDUSTRIES BHD,0.81,0.83,MYX,Malaysia,Consumer Non-Durables
45836,HUPHY,Hutchison Port Holdings Trust,3.43,3.43,OTC,Singapore,Miscellaneous
45838,HUNT.N0000,HUNTERS & COMPANY PLC,651.33,651.0,CSELK,Sri Lanka,Finance
45843,HUNGF,"Huaneng Power International, Inc.",0.5,0.5,OTC,China,Utilities
45845,HUNA.N0000,HUNAS FALLS HOTELS PLC,26.27,26.5,CSELK,Sri Lanka,Consumer Services
45849,HUMX,HUMAN XTENSIONS LT,116.77,117.6,TASE,Israel,Health Technology
45852,HUMNL,HUM NETWORK LTD,7.14,7.1,PSX,Pakistan,Consumer Services
45854,HUMI,HUMPUSS MARITIM INTERNASIONAL PT,159.0,160.0,IDX,Indonesia,Transportation
45855,HUMEIND,HUME CEMENT INDUSTRIES BERHAD,1.89,1.9,MYX,Malaysia,Non-Energy Minerals
45858,HUMANSOFT,HUMAN SOFT HOLDING,3048.0,3045.0,KSE,Kuwait,Commercial Services
45859,HUMAN.R,HUMANICA PUBLIC COMPANY LIMITED NON-VOTING,10.33,10.3,SET,Thailand,Commercial Services
45860,HUMAN,HUMANICA PUBLIC COMPANY LIMITED,10.33,10.3,SET,Thailand,Commercial Services
45878,HULCF,Hulic Co Ltd.,9.42,9.42,OTC,Japan,Finance
45887,HUIZ,Huize Holding Limited,0.96,0.96,NASDAQ,China,Finance
45888,HUIL,HINDUSTHAN URBAN INFRASTRUCTUR,2240.42,2212.0,BSE,India,Producer Manufacturing
45890,HUHTAMAKI,HUHTAMAKI INDIA LIMITED,311.52,312.0,BSE,India,Process Industries
