id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
311,ZOONF,ZOONO GROUP LTD.,0.01,0.01,OTC,New Zealand,Health Technology
351,ZNO,ZOONO GROUP LIMITED,0.05,0.05,ASX,New Zealand,Health Technology
1778,XROLF,Xero Ltd.,65.3,65.3,OTC,New Zealand,Technology Services
1779,XRO,XERO LIMITED,100.17,100.53,ASX,New Zealand,Technology Services
3262,WTN,WINTON LAND LIMITED,2.39,2.39,ASX,New Zealand,Finance
3913,WIN,WINTON LAND LTD NPV,2.28,2.28,NZX,New Zealand,Finance
3988,WHS,WAREHOUSE GROUP ORD NPV,1.68,1.69,NZX,New Zealand,Retail Trade
4425,WCO,WASTECO GROUP LTD NPV,0.06,0.06,NZX,New Zealand,Transportation
5049,VTL,VITAL LIMITED NPV,0.23,0.23,NZX,New Zealand,Communications
5146,VSL,VULCAN STEEL LIMITED,7.25,7.29,ASX,New Zealand,Distribution Services
5148,VSL,VULCAN STEEL LIMITED NPV,7.78,7.78,NZX,New Zealand,Distribution Services
6098,VHT,VOLPARA HEALTH TECHNOLOGIES LIMITED,0.72,0.72,ASX,New Zealand,Technology Services
6180,VGL,VISTA GROUP INTERNATIONAL LIMITED.,1.3,1.31,ASX,New Zealand,Technology Services
6181,VGL,VISTA GROUP INTERNATIONAL LIMITED NPV (POST CONSOLIDATION),1.4,1.4,NZX,New Zealand,Technology Services
6598,VCT,VECTOR LIMITED NPV,3.69,3.69,NZX,New Zealand,Utilities
7321,USV,SMARTSHARES US LARGE VALUE ETF,4.68,4.69,NZX,New Zealand,Miscellaneous
7355,USS,SMARTSHARES US SMALL CAP ETF,6.18,6.19,NZX,New Zealand,Miscellaneous
7397,USM,SMARTSHARES US MID CAP ETF,6.95,6.97,NZX,New Zealand,Miscellaneous
7452,USG,SMARTSHARES US LARGE GROWTH ETF,9.35,9.38,NZX,New Zealand,Miscellaneous
7468,USF,SMARTSHARES US 500 ETF,13.61,13.65,NZX,New Zealand,Miscellaneous
7574,USA,SMARTSHARES US EQUITIES ESG ETF,3.5,3.52,NZX,New Zealand,Miscellaneous
8921,TWR,TOWER LIMITED,0.58,0.57,ASX,New Zealand,Finance
8924,TWR,TOWER LTD NPV,0.63,0.63,NZX,New Zealand,Finance
8962,TWL,TRADE WINDOW HOLDINGS LTD NPV,0.23,0.23,NZX,New Zealand,Technology Services
8971,TWH,SMARTSHARES TOTAL WORLD (NZD HEDGED) ETF,3.19,3.2,NZX,New Zealand,Miscellaneous
8972,TWF,SMARTSHARES TOTAL WORLD ETF,3.22,3.23,NZX,New Zealand,Miscellaneous
9401,TSK,TASK GROUP HOLDINGS LIMITED,0.46,0.46,ASX,New Zealand,Technology Services
9543,TRU,TRUSCREEN GROUP LIMITED,0.02,0.02,ASX,New Zealand,Health Technology
9556,TRU,TRUSCREEN GROUP LTD NPV,0.02,0.02,NZX,New Zealand,Health Technology
9915,TRA,TURNERS AUTOMOTIVE GROUP LIMITED,3.51,3.5,ASX,New Zealand,Finance
9917,TRA,TURNERS AUTOMOTIVE GROUP LTD ORD NPV,4.21,4.2,NZX,New Zealand,Finance
10357,TNZ,SMARTSHARES NZ TOP 10 ETF,1.87,1.87,NZX,New Zealand,Miscellaneous
11290,THL,TOURISM HOLDINGS RENTALS LIMITED,3.12,3.12,ASX,New Zealand,Finance
11291,THL,TOURISM HLDGS ORD NPV,3.44,3.45,NZX,New Zealand,Finance
11487,TGG,T&G GLOBAL LIMITED NPV,1.81,1.81,NZX,New Zealand,Process Industries
12556,TAH,THIRD AGE HEALTH SERVICES LTD NPV,1.52,1.52,NZX,New Zealand,Health Services
13318,SVR,SAVOR LTD NPV,0.27,0.27,NZX,New Zealand,Consumer Non-Durables
13667,SUM,SUMMERSET GROUP HOLDINGS LTD NPV,9.71,9.74,NZX,New Zealand,Health Services
13857,STU,STEEL & TUBE HLDGS NPV,1.06,1.06,NZX,New Zealand,Distribution Services
14110,STG,STRAKER LIMITED,0.49,0.49,ASX,New Zealand,Commercial Services
14298,SST,STEAMSHIPS TRADING COMPANY LIMITED,12.3,12.3,ASX,Papua New Guinea,Transportation
14382,SSHT,SSHT S&T Group Ltd.,0.74,0.61,OTC,New Zealand,Electronic Technology
14827,SPY,SMARTPAY HOLDINGS LIMITED NPV,1.6,1.6,NZX,New Zealand,Electronic Technology
15032,SPN,SOUTH PORT NEW ZEALAND NPV,7.36,7.36,NZX,New Zealand,Transportation
15099,SPKKY,Spark New Zealand Limited,15.16,15.15,OTC,New Zealand,Communications
15100,SPK,SPARK NEW ZEALAND LIMITED,4.65,4.65,ASX,New Zealand,Communications
15102,SPK,SPARK NEW ZEALAND LTD NPV,5.06,5.05,NZX,New Zealand,Communications
15173,SPG,STRIDE PROPERTY LTD & STRIDE INVEST NPV UNIT 1 COM SER A,1.29,1.28,NZX,New Zealand,Finance
15669,SNZ,SUMMERSET GROUP HOLDINGS LIMITED,8.84,8.71,ASX,New Zealand,Health Services
