id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
12,ZYUS,GBLXYUS ETF UNITS,12.57,12.57,ASX,Australia,Miscellaneous
21,ZYAU,GBLXYAU ETF UNITS,8.13,8.12,ASX,Australia,Miscellaneous
359,ZNC,ZENITH MINERALS LIMITED,0.17,0.17,ASX,Australia,Non-Energy Minerals
384,ZMI,ZINC OF IRELAND NL,0.02,0.02,ASX,Australia,Non-Energy Minerals
416,ZLDAF,Zelira Therapeutics Ltd.,0.57,0.57,OTC,Australia,Health Technology
417,ZLD,ZELIRA THERAPEUTICS LIMITED,0.92,0.92,ASX,Australia,Health Technology
442,ZIZTF,Zip Co Ltd.,0.23,0.23,OTC,Australia,Finance
447,ZIP,ZIP CO LIMITED..,0.42,0.42,ASX,Australia,Finance
541,ZGL,ZICOM GROUP LIMITED,0.05,0.05,ASX,Australia,Producer Manufacturing
581,ZEU,ZEUS RESOURCES LIMITED,0.01,0.01,ASX,Australia,Non-Energy Minerals
612,ZEO,ZEOTECH LIMITED,0.04,0.04,ASX,Australia,Non-Energy Minerals
793,ZAG,ZULEIKA GOLD LIMITED,0.02,0.02,ASX,Australia,Non-Energy Minerals
814,Z2U,ZOOM2U TECHNOLOGIES LIMITED,0.06,0.06,ASX,Australia,Technology Services
855,YWGRF,Yowie Group LTD,0.01,0.01,OTC,Australia,Consumer Non-Durables
924,YRL,YANDAL RESOURCES LIMITED,0.07,0.07,ASX,Australia,Non-Energy Minerals
952,YPB,YPB GROUP LTD,0.0,0.0,ASX,Australia,Technology Services
957,YOW,YOWIE GROUP LTD,0.03,0.03,ASX,Australia,Consumer Non-Durables
991,YOJ,YOJEE LIMITED,0.0,0.01,ASX,Australia,Technology Services
1031,YMAX,BETAYIELD TMF UNITS,7.39,7.38,ASX,Australia,Miscellaneous
1171,YBR,YELLOW BRICK ROAD HOLDINGS LIMITED,0.06,0.06,ASX,Australia,Finance
1201,YAR,YARI MINERALS LIMITED,0.02,0.02,ASX,Australia,Non-Energy Minerals
1205,YANK,BETAYANK TMF UNITS,12.83,12.83,ASX,Australia,Miscellaneous
1218,YAL,YANCOAL AUSTRALIA LIMITED,4.86,4.85,ASX,Australia,Energy Minerals
1232,YACAF,Yancoal Australia Ltd,3.16,3.2,OTC,Australia,Energy Minerals
1561,XTE,XTEK LIMITED.,0.46,0.46,ASX,Australia,Electronic Technology
1621,XST,XSTATE RESOURCES LIMITED,0.01,0.01,ASX,Australia,Energy Minerals
1788,XRG,XREALITY GROUP LTD,0.03,0.03,ASX,Australia,Consumer Services
1789,XRF,XRF SCIENTIFIC LIMITED,1.07,1.07,ASX,Australia,Producer Manufacturing
1860,XPN,XPON TECHNOLOGIES GROUP LIMITED,0.03,0.03,ASX,Australia,Technology Services
2106,XMET,BETAXMET ETF UNITS,7.02,7.01,ASX,Australia,Miscellaneous
2373,XGOV,VE XGOV ETF UNITS,49.45,49.45,ASX,Australia,Miscellaneous
2484,XF1,XREF LIMITED,0.12,0.12,ASX,Australia,Technology Services
2863,XCO2,VE CARBON ETF UNITS,20.79,20.9,ASX,Australia,Miscellaneous
3024,XARO,ACTIVEXBND TMF UNITS,24.47,24.48,ASX,Australia,Miscellaneous
3112,X2M,X2M CONNECT LIMITED,0.05,0.05,ASX,Australia,Technology Services
3141,WZR,WISR LIMITED,0.02,0.02,ASX,Australia,Finance
3143,WYX,WESTERN YILGARN NL,0.13,0.13,ASX,Australia,Non-Energy Minerals
3159,WYGPY,Worley Ltd.,10.67,10.65,OTC,Australia,Industrial Services
3160,WYGPF,Worley Ltd.,11.3,11.3,OTC,Australia,Industrial Services
3166,WXOZ,SPDR WORLD ETF UNITS,39.72,39.79,ASX,Australia,Miscellaneous
3170,WXHG,SPDR WXOZH ETF UNITS,21.62,21.6,ASX,Australia,Miscellaneous
3189,WWI,WEST WITS MINING LIMITED,0.01,0.01,ASX,Australia,Non-Energy Minerals
3192,WWG,WISEWAY GROUP LIMITED,0.05,0.05,ASX,Australia,Transportation
3207,WVOL,IEDGEWLVOL ETF UNITS,36.3,36.3,ASX,Australia,Miscellaneous
3270,WTL,WT FINANCIAL GROUP LIMITED,0.08,0.08,ASX,Australia,Finance
3295,WTGRF,WestGold Resources NL,1.29,1.29,OTC,Australia,Non-Energy Minerals
3337,WTCHF,Wisetech Global,42.37,42.37,OTC,Australia,Technology Services
3339,WTC,WISETECH GLOBAL LIMITED,67.49,67.63,ASX,Australia,Technology Services
3393,WSR,WESTAR RESOURCES LIMITED,0.02,0.02,ASX,Australia,Non-Energy Minerals
3400,WSP,WHISPIR LIMITED,0.49,0.49,ASX,Australia,Technology Services
3415,WSI,WESTSTAR INDUSTRIAL LIMITED,0.13,0.13,ASX,Australia,Non-Energy Minerals
3443,WRSLF,Winsome Resources Ltd.,0.8,0.8,OTC,Australia,Non-Energy Minerals
3461,WRLD,BETA MR GL TMF UNITS,15.9,15.9,ASX,Australia,Miscellaneous
3468,WRK,WRKR LTD,0.03,0.03,ASX,Australia,Technology Services
3502,WR1,WINSOME RESOURCES LIMITED,1.2,1.19,ASX,Australia,Non-Energy Minerals
