id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
60285,DLMAF,"Dollarama, Inc.",72.7,72.7,OTC,Canada,Retail Trade
60292,DLHC,DLH Holdings Corp.,14.65,14.57,NASDAQ,United States,Commercial Services
60293,DLGI,DATALOGIC INTERNATIONAL INC,0.0,0.0,OTC,United States,Electronic Technology
60302,DLCG,DOMINION LENDING CENTRES INC,2.65,2.63,TSX,Canada,Finance
60303,DLCG,DOMINION LENDING CENTRES INC,2.66,2.65,NEO,Canada,Finance
60304,DLC,DLC HOLDINGS CORP,0.11,0.11,TSXV,Canada,Distribution Services
60305,DLB,Dolby Laboratories,88.05,87.77,NYSE,United States,Technology Services
60310,DLAD,DEALERADVANCE INC,0.0,0.0,OTC,United States,Distribution Services
60312,DLA,"Delta Apparel, Inc.",8.7,8.74,NYSE ARCA,United States,Consumer Non-Durables
60313,DL8,DELUXE CORP. DL1,0.0,17.1,DUS,United States,Commercial Services
60314,DL8,DELUXE CORP,0.0,17.4,TRADEGATE,United States,Commercial Services
60315,DL8,DELUXE CORP. DL1,0.0,17.5,MUN,United States,Commercial Services
60316,DL8,DELUXE CORP. DL1,0.0,17.4,BER,United States,Commercial Services
60317,DL8,DELUXE CORP. DL1,0.0,17.5,FWB,United States,Commercial Services
60318,DL8,DELUXE CORP.,0.0,17.3,SWB,United States,Commercial Services
60325,DKSC,Dakshidin Corp.,0.0,0.0,OTC,United States,Producer Manufacturing
60326,DKS,Dick's Sporting Goods Inc,115.93,115.35,NYSE,United States,Retail Trade
60327,DKRB,Subversive Decarbonization ETF,25.02,25.15,NYSE ARCA,United States,Miscellaneous
60329,DKNG1,DRAFTKINGS INC,643.33,645.0,BMV,United States,Consumer Services
60330,DKNG,DraftKings Inc.,36.85,37.31,NASDAQ,United States,Consumer Services
60334,DKL,DECKLAR RESOURCES INC,0.1,0.1,TSXV,Canada,Non-Energy Minerals
60335,DKL,"Delek Logistics Partners, L.P.",48.87,48.75,NYSE,United States,Industrial Services
60361,DK,"Delek US Holdings, Inc.",27.15,27.42,NYSE,United States,Energy Minerals
60364,DJUN,FT Cboe Vest U.S. Equity Deep Buffer ETF - June,36.51,36.54,NYSE ARCA,United States,Miscellaneous
60365,DJUL,FT Cboe Vest U.S. Equity Deep Buffer ETF - July,35.04,35.09,NYSE ARCA,United States,Miscellaneous
60372,DJP,iPath Bloomberg Commodity Index Total Return ETN,31.38,31.26,NYSE ARCA,United States,Miscellaneous
60373,DJNJ3,JOHNSON & JOHNSON CEDEAR(REPR 6.95% BDS),1004.0,1004.0,BCBA,United States,Health Technology
60374,DJN3B,JOHNSON & JOHNSON CEDEAR(REPR 6.95% BDS),1027.0,1027.0,BCBA,United States,Health Technology
60375,DJN2B,JOHNSON & JOHNSON CEDEAR(REPR 6.73% DEB),907.83,911.5,BCBA,United States,Health Technology
60384,DJIA,Global X Funds Global X Dow 30 Covered Call ETF,21.56,21.58,NYSE ARCA,United States,Miscellaneous
