id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
15,ZYRX,ZYREXINDO MANDIRI BUANA TBK,177.33,179.0,IDX,Indonesia,Electronic Technology
17,ZYDUSWELL,ZYDUS WELLNESS LTD.,1525.68,1530.2,BSE,India,Consumer Non-Durables
18,ZYDUSWELL,ZYDUS WELLNESS LTD,1523.43,1528.25,NSE,India,Consumer Non-Durables
19,ZYDUSLIFE,ZYDUS LIFESCIENCES,628.77,631.85,NSE,India,Health Technology
20,ZYDUSLIFE,ZYDUS LIFESCIENCES LIMITED,628.88,632.0,BSE,India,Health Technology
30,ZXY,ALPINA HOLDINGS,0.19,0.19,SGX,Singapore,Industrial Services
59,ZWELCAST,WELCAST STEELS LTD.,1565.22,1538.5,BSE,India,Non-Energy Minerals
97,ZUR,ZUR,366.7,377.1,TASE,Israel,Finance
132,ZUARIIND,ZUARI INDUSTRIES LIMITED,147.02,145.9,BSE,India,Process Industries
133,ZUARIIND,ZUARI INDUSTRIES LTD,146.95,146.15,NSE,India,Process Industries
134,ZUARI,ZUARI AGRO CHEMICA,156.02,155.75,NSE,India,Process Industries
135,ZUARI,ZUARI AGRO CHEMICALS LTD.,156.18,155.8,BSE,India,Process Industries
145,ZTO,ZTO Express (Cayman) Inc.,23.85,24.04,NYSE,China,Transportation
153,ZTL,ZEPHYR TEXTILES LTD,11.63,11.7,PSX,Pakistan,Process Industries
160,ZTCOF,Zte Corp.,2.45,2.45,OTC,China,Electronic Technology
170,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTM,8.13,8.13,BSE,India,Finance
171,ZSVARAJT,SVARAJ TRADING & AGENCIES LTD.,7.38,7.37,BSE,India,Finance
174,ZSTN,ZST DIGITAL NETWORKS INC,0.0,0.0,OTC,China,Distribution Services
207,ZSHGY,Zhongsheng Group Holdings Ltd,26.84,26.84,OTC,China,Retail Trade
215,ZSARACOM,SARASWATI COMMERCIAL (INDIA) L,3198.33,3169.0,BSE,India,Finance
248,ZPRS,ZEPHYRUS WING ENER,1591.67,1590.0,TASE,Israel,Utilities
308,ZOTA,ZOTA HEALTH CARE LTD,429.8,429.1,NSE,India,Health Technology
310,ZOOZ,ZOOZ POWER LTD,58.5,56.3,TASE,Israel,Producer Manufacturing
317,ZONE,MEGA PERINTIS TBK,1128.33,1130.0,IDX,Indonesia,Consumer Non-Durables
320,ZOMD,ZOOMD TECHNOLOGIES LTD,0.07,0.07,TSXV,Israel,Technology Services
321,ZOMATO,ZOMATO LIMITED,121.77,121.9,BSE,India,Transportation
322,ZOMATO,ZOMATO LTD,121.7,121.85,NSE,India,Transportation
335,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,53.47,51.96,BSE,India,Non-Energy Minerals
336,ZODIACVEN,ZODIAC VENTURES LIMITED,13.67,13.82,BSE,India,Finance
337,ZODIACLOTH,ZODIAC CLOTHING CO.LTD.,133.8,134.2,BSE,India,Consumer Non-Durables
338,ZODIACLOTH,ZODIAC CLOTH CO,134.98,134.95,NSE,India,Consumer Non-Durables
339,ZODIAC,ZODIAC ENERGY LTD,151.02,150.6,NSE,India,Producer Manufacturing
340,ZODIAC,ZODIAC ENERGY LIMITED,150.83,150.0,BSE,India,Producer Manufacturing
353,ZNKL,ZANLAKOL,1996.0,2005.0,TASE,Israel,Consumer Non-Durables
354,ZNKKY,Zenkoku Hosho Co Ltd,10.4,10.4,OTC,Japan,Finance
360,ZMULTIPU,MULTIPURPOSE TRADING & AGENCIE,14.26,14.39,BSE,India,Finance
375,ZMILGFIN,MILGREY FINANCE & INVESTMENT L,45.76,46.14,BSE,India,Finance
387,ZMH,ZMH,2121.33,2164.0,TASE,Israel,Finance
388,ZMENY,Zhangmen Education Inc.,0.49,0.49,OTC,China,Technology Services
389,ZMDTF,Zoomd Technologies Ltd.,0.05,0.05,OTC,Israel,Technology Services
407,ZLIOY,ZoomLion Heavy Industry Science and Technology Co Ltd.,5.05,5.05,OTC,China,Producer Manufacturing
408,ZLIOF,ZoomLion Heavy Industry Science and Technology Co Ltd.,0.54,0.54,OTC,China,Producer Manufacturing
424,ZLAB,Zai Lab Limited,26.42,26.4,NASDAQ,China,Health Technology
425,ZKX,EVER GLORY,0.39,0.39,SGX,Singapore,Industrial Services
426,ZKIN,"ZK International Group Co., Ltd",0.77,0.78,NASDAQ,China,Producer Manufacturing
427,ZKHANDEN,KHANDELWAL EXTRACTION LTD.,63.0,63.0,BSE,India,Process Industries
428,ZKH,ZENKOKU HOSHO CO. LTD.,0.0,28.4,FWB,Japan,Finance
430,ZJYL,JIN MEDICAL INTERNATIONAL LTD.,10.68,10.82,NASDAQ,China,Health Technology
431,ZJS1,JINKOSOLAR HOLDING CO-ADR,32.3,32.3,BX,China,Electronic Technology
460,ZINC,KAPUAS PRIMA COAL TBK,50.0,50.0,IDX,Indonesia,Non-Energy Minerals
465,ZIMLAB,ZIM LABORATORIES LIMITED,119.2,118.55,BSE,India,Health Technology
466,ZIMLAB,ZIM LABORATORIES LTD,119.45,118.9,NSE,India,Health Technology
469,ZIM,ZIM Integrated Shipping Services Ltd.,7.45,7.27,NYSE,Israel,Transportation
481,ZIL,ZIL LTD,232.27,236.8,PSX,Pakistan,Consumer Non-Durables
482,ZIJMF,Zijin Mining Group Company Ltd.,1.53,1.53,OTC,China,Non-Energy Minerals
484,ZIGA.R,ZIGA INNOVATION PCL NON-VOTING,2.22,2.22,SET,Thailand,Non-Energy Minerals
485,ZIGA,ZIGA INNOVATION PCL,2.22,2.22,SET,Thailand,Non-Energy Minerals
497,ZHYBF,Zhong Yuan Bio-Technology Holdings Ltd,4.78,4.68,OTC,Hong Kong,Distribution Services
500,ZHULIAN,ZHULIAN CORPORATION BHD,1.87,1.87,MYX,Malaysia,Producer Manufacturing
501,ZHUD,Zhuding International Limited,0.01,0.02,OTC,China,Non-Energy Minerals
504,ZHS,NIKKOAM-ICBCSG CNB S$,0.94,0.94,SGX,Singapore,Miscellaneous
507,ZHIXF,ZHIXIN GROUP HLDG LTD.,0.48,0.48,OTC,China,Non-Energy Minerals
508,ZHI,"ZEUS HOLDINGS, INC.",0.07,0.07,PSE,Philippines,Non-Energy Minerals
509,ZHHJY,Zhejiang Shibao Co Ltd,3.0,3.0,OTC,China,Producer Manufacturing
510,ZHEXF,Zhejiang Expressway Co. Ltd.,0.64,0.64,OTC,China,Transportation
513,ZHCD,ZAD HOLDING QPSC,13.4,13.5,QSE,Qatar,Consumer Non-Durables
514,ZH,Zhihu Inc.,1.0,1.01,NYSE,China,Technology Services
546,ZGE,ZIGEXN CO.LTD.,0.0,2.96,BER,Japan,Technology Services
547,ZGE,ZIGEXN CO.LTD.,0.0,2.97,DUS,Japan,Technology Services
548,ZGE,ZIGEXN CO.LTD.,0.0,3.14,MUN,Japan,Technology Services
549,ZGE,ZIGEXN CO.LTD.,0.0,2.96,FWB,Japan,Technology Services
556,ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.,819.47,817.0,BSE,India,Producer Manufacturing
575,ZFCVINDIA,ZF COM VE CTR SYS IND LTD,16342.17,16294.85,NSE,India,Producer Manufacturing
576,ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL,16358.85,16319.75,BSE,India,Producer Manufacturing
609,ZEPP,Zepp Health Corporation,1.2,1.2,NYSE,China,Consumer Durables
617,ZENTECH,ZEN TECH INTERNATIONAL BERHAD,0.02,0.02,MYX,Malaysia,Producer Manufacturing
618,ZENTEC,ZEN TECHNOLOGIES LTD.,736.48,735.0,BSE,India,Technology Services
619,ZENTEC,ZEN TECHNOLOGIES,737.23,734.75,NSE,India,Technology Services
620,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,514.37,515.65,BSE,India,Technology Services
621,ZENSARTECH,ZENSAR TECHNOLOGIE,514.37,515.25,NSE,India,Technology Services
622,ZENOTECH,ZENOTECH LABORATORIES LTD.,66.26,65.78,BSE,India,Health Technology
623,ZENLABS,ZENLABS ETHICA LIMITED,44.94,44.77,BSE,India,Health Technology
624,ZENITHSTL,ZENITH STEEL PIPES AND INDUST,6.88,6.88,BSE,India,Non-Energy Minerals
625,ZENITHSTL,ZENITH STEEL PIP IND LTD,6.8,6.8,NSE,India,Non-Energy Minerals
626,ZENITHHE,ZENITH HEALTH CARE LTD.,4.17,4.22,BSE,India,Health Technology
627,ZENITHEXPO,ZENITH EXPORTS LTD,130.5,127.9,NSE,India,Consumer Non-Durables
628,ZENITHEXPO,ZENITH EXPORTS LTD.,130.37,128.05,BSE,India,Consumer Non-Durables
630,ZENIFIB,ZENITH FIBRES LTD.,67.65,67.76,BSE,India,Process Industries
634,ZEN.R,ZEN CORPORATION GROUP PCL NON-VOTING,9.95,9.95,SET,Thailand,Consumer Services
640,ZEN,ZEN CORPORATION GROUP PCL,9.95,9.95,SET,Thailand,Consumer Services
644,ZELAN,ZELAN BHD,0.05,0.05,MYX,Malaysia,Industrial Services
659,ZEEMEDIA,ZEE MEDIA CORPORATION LIMITED,16.4,16.49,BSE,India,Consumer Services
660,ZEEMEDIA,ZEE MEDIA CORP,16.37,16.45,NSE,India,Consumer Services
661,ZEELEARN,ZEE LEARN LTD.,7.79,7.84,BSE,India,Consumer Services
