id,Symbol,full_name,VWAP,Price,Exchange,Country,Sector
1,ZZ_B,ZINZINO AB SER. B,52.67,53.0,OMXSTO,Sweden,Consumer Non-Durables
14,ZYT,ZYTRONIC ORD GBP0.01,79.0,80.0,LSE,United Kingdom,Electronic Technology
44,ZWM,ZWAHLEN I,167.0,167.0,SIX,Switzerland,Industrial Services
47,ZWIPE,ZWIPE AS,0.68,0.65,OMXSTO,Norway,Electronic Technology
48,ZWIPE,ZWIPE AS,0.7,0.68,OSL,Norway,Electronic Technology
68,ZWACK,ZWACK UNICUM SHARE,17800.0,17800.0,BET,Hungary,Consumer Non-Durables
79,ZVEZ,Zvezda,11.97,11.79,MOEX,Russian Federation,Producer Manufacturing
82,ZV,ZIGNAGO VETRO,12.45,12.46,MIL,Italy,Process Industries
93,ZURVY,Zurich Insurance Group Ltd,48.48,48.42,OTC,Switzerland,Finance
94,ZURN/N,ZURICH INSURANCE GROUP AG,8444.81,8444.81,BMV,Switzerland,Finance
95,ZURN,ZURICH INSURANCE N,429.33,430.2,SIX,Switzerland,Finance
112,ZUK,STAPORKOW,2.88,2.88,GPW,Poland,Producer Manufacturing
115,ZUGN,ZUG ESTATES HOLDING AG,1518.33,1520.0,SIX,Switzerland,Finance
116,ZUGER,ZUGER KB N,7846.67,7860.0,SIX,Switzerland,Finance
119,ZUE,ZUE,6.65,6.68,GPW,Poland,Industrial Services
128,ZUC,ZUCCHI,2.0,2.0,MIL,Italy,Consumer Durables
129,ZUBN,ZUEBLIN IMM N,27.0,27.4,SIX,Switzerland,Finance
144,ZTPK,ZITOPEK AD NIS,3333.33,3350.0,BELEX,Serbia,Consumer Non-Durables
157,ZTF,ZOTEFOAMS ORD GBP0.05,311.0,313.0,LSE,United Kingdom,Process Industries
179,ZSRN,BNPPE-M.EM.SRI SS5C.UECEO,0.0,12.2,XETR,Luxembourg,Miscellaneous
180,ZSRM,BNPPE-M.USA SRISS5C.UEEOC,18.21,18.2,XETR,Luxembourg,Miscellaneous
181,ZSRL,BNPPE.-F.E./N.D.E.QDDEOH,0.0,6.87,XETR,Luxembourg,Miscellaneous
182,ZSRI,BNPPE-M.EUR.SRI SS5 DIS,25.5,25.45,XETR,Luxembourg,Miscellaneous
201,ZSILUS.USD,ZKB SILVER ETF - A (USD),217.03,217.95,SIX,Switzerland,Miscellaneous
202,ZSILHE.EUR,ZKB SILVER ETF - H (EUR),124.05,123.9,SIX,Switzerland,Miscellaneous
203,ZSILHC,ZKB SILVER ETF - H (CHF),46.45,46.72,SIX,Switzerland,Miscellaneous
204,ZSILF,ZUERCHER KANTONALBANK ZKB SILVER AA USD DIS,211.55,211.95,OTC,Switzerland,Miscellaneous
205,ZSILEU.EUR,ZKB SILVER ETF - A (EUR),200.09,200.8,SIX,Switzerland,Miscellaneous
206,ZSIL,ZKB SILVER ETF - A (CHF),61.35,61.56,SIX,Switzerland,Miscellaneous
208,ZSG0,HANETF-AUAG ESG DLA,6.0,6.06,XETR,Ireland,Miscellaneous
218,ZRX,ZORTRAX,0.38,0.39,NEWCONNECT,Poland,Health Technology
222,ZRGYO,ZIRAAT GMYO,5.07,5.04,BIST,Turkey,Finance
225,ZRE,ZREMB,3.48,3.47,GPW,Poland,Producer Manufacturing
243,ZPRX,SPDR MSCI EUR.SM.CA.VALUE,43.76,43.49,XETR,Ireland,Miscellaneous
244,ZPRW,SPDR MSCI EUROPE VAL.UETF,43.08,42.98,XETR,Ireland,Miscellaneous
245,ZPRVF,SSGA SPDR ETFS EUROPE II PLC,54.07,54.07,OTC,Ireland,Miscellaneous
246,ZPRV,SPDR MSCI US.S.C.V.W.UETF,50.24,49.91,XETR,Ireland,Miscellaneous
247,ZPRU,SPDR MSCI USA VAL.UCI.ETF,47.64,47.49,XETR,Ireland,Miscellaneous
249,ZPRS,SPDR MSCI WRLD S.CAP UE,81.79,81.44,XETR,Ireland,Miscellaneous
250,ZPRR,SPDR RUSS.2000US.S.CAP UE,46.72,46.48,XETR,Ireland,Miscellaneous
251,ZPRP,FTSE EPRA N.D.E.XUK I.UE,24.03,23.98,XETR,Ireland,Miscellaneous
252,ZPRP,FTSE EPRA NAREIT DEVELOPED EUROPE EX UK INDEX UCITS,23.12,23.12,BX,Ireland,Miscellaneous
253,ZPRM,SPDR BLOOM.1-3M.T-B.MH,0.0,150.01,XETR,Ireland,Miscellaneous
254,ZPRL,SPDR EURO STOXX L.VOL. UE,43.24,43.19,XETR,Ireland,Miscellaneous
255,ZPRI,SPDR MORNINGST.MA.G.I.UE,28.61,28.65,XETR,Ireland,Miscellaneous
256,ZPRG,SPDR S+P GL.DIV.ARIST.ETF,26.71,26.63,XETR,Ireland,Miscellaneous
257,ZPRG,SPDR - S&P GLOBAL DIVIDEND ARISTOCRATS UCITS ETF DIST,25.88,25.87,BX,Ireland,Miscellaneous
